,店舗名,住所,緯度,経度
531,セブンイレブン 鋸南保田店,千葉県安房郡鋸南町元名９０１,35.1464236,139.8331753
532,セブンイレブン平塚駅北口店,神奈川県平塚市宝町２－６高久ビル,35.3290358,139.3514148
533,セブンイレブン 市川大野３丁目店,千葉県市川市大野町３丁目１７９３－１,35.7556817,139.954729
534,セブンイレブン 富士市青葉町店,静岡県富士市青葉町５７７,35.161304,138.6597576
535,セブンイレブン 波田赤松店,長野県松本市波田上赤松２９９４－１,36.1910289,137.8245502
536,セブンイレブン埼玉高速東川口駅店,埼玉県川口市東川口１丁目１－１,35.8759759,139.7441062
537,セブンイレブン大阪狭山東野中店,大阪府大阪狭山市東野中２丁目９７９－２,34.5183302,135.5562728
538,セブンイレブン 神戸北長狭通３丁目店,兵庫県神戸市中央区北長狭通３丁目２－３,34.6911022,135.1890729
539,セブンイレブン 茅ケ崎中海岸店,神奈川県茅ヶ崎市中海岸２丁目８－２７,35.3229606,139.4009616
540,セブンイレブン 蕨中央１丁目店,埼玉県蕨市中央１丁目８－１０,35.8263286,139.6899987
541,セブンイレブン秋田新国道寺内店,秋田県秋田市寺内字三千刈１１６－１,39.7431913,140.0966884
542,セブンイレブン岩国駅前中央通り店,山口県岩国市麻里布町３丁目１－２３,34.1720027,132.2228059
543,セブンイレブン 新宿市谷田町２丁目店,東京都新宿区市谷田町２丁目３,35.6941911,139.7371157
544,セブンイレブン 鈴鹿道伯町店,三重県鈴鹿市道伯町２１５０－１６,34.8568649,136.5449094
545,セブンイレブン北上駅東口店,岩手県北上市川岸１丁目７－５,39.2827708,141.1247455
546,セブンイレブン千代田平河町２丁目店,東京都千代田区平河町２丁目７－２,35.6790874,139.7404495
547,セブンイレブン 福島栄町店,福島県福島市栄町１０－２,37.7535815,140.4631183
548,セブンイレブン 秋田八橋新川向店,秋田県秋田市八橋新川向８－３０,39.7285095,140.1044067
549,セブンイレブン 羽曳野伊賀４丁目店,大阪府羽曳野市伊賀４丁目１３－１,34.5584116,135.5814894
550,セブンイレブン藤沢湘南台７丁目店,神奈川県藤沢市湘南台７丁目１７－１１,35.39509049999999,139.4715206
551,セブンイレブン 下越吉田大保町店,新潟県燕市吉田大保町５－２３,37.6895468,138.8797919
552,セブンイレブン 京都竹田中内畑町店,京都府京都市伏見区竹田中内畑町１４５,34.9526194,135.7556523
553,セブンイレブン 長浜駅前店,滋賀県長浜市元浜町１－３,35.3791783,136.2669701
554,セブンイレブン 高松多肥下町店,香川県高松市多肥下町３８４－１,34.29787290000001,134.0558953
555,セブンイレブン東村山栄町１丁目店,東京都東村山市栄町１丁目２４－１４,35.7508611,139.4733972
556,セブンイレブン 橋本東家店,和歌山県橋本市東家４丁目２－１,34.3147956,135.6082208
557,セブンイレブン吹田山田東１丁目店,大阪府吹田市山田東１丁目３８－１,34.7985016,135.5345386
558,セブンイレブン 金沢横川６丁目店,石川県金沢市横川６丁目１８３－２,36.5431185,136.6292606
559,セブンイレブン水天宮前店,東京都中央区日本橋蛎殻町１丁目３８－９,35.6832133,139.7847686
560,セブンイレブン相生山手店,兵庫県相生市山手１丁目１５０,34.818577,134.4775429
561,セブンイレブン 国立中店,東京都国立市中１丁目１４－９,35.6969416,139.4428073
562,セブンイレブン 宇部若松町店,山口県宇部市若松町６－２４,33.9600855,131.2419025
563,セブンイレブン 中央区札幌南９条西４丁目店,北海道札幌市中央区南９条西４丁目,43.0485669,141.3533854
564,セブンイレブン 甲府朝気３丁目店,山梨県甲府市朝気３丁目２０－１３,35.6477931,138.5784875
565,セブンイレブン 山梨清里店,山梨県北杜市高根町清里３５４５－６３３８,35.9141019,138.441647
566,セブンイレブン 彦根小泉町店,滋賀県彦根市小泉町１２８－１,35.2475528,136.2502304
567,セブンイレブン 八王子北口店,東京都八王子市東町１３－６,35.6588242,139.3379705
568,セブンイレブン川崎万福寺１丁目店,神奈川県川崎市麻生区万福寺１丁目８－５リヴェール新百合丘,35.6036386,139.503385
569,セブンイレブン川崎登戸駅前店,神奈川県川崎市多摩区登戸３３７５－１,35.6196198,139.5689153
570,セブンイレブン 茨木東奈良３丁目店,大阪府茨木市東奈良３丁目１４－１０,34.8023646,135.5664275
571,セブンイレブン 西宮北夙川通り店,兵庫県西宮市老松町１－９,34.7490171,135.31833
572,セブンイレブン 向日寺戸店,京都府向日市寺戸町修理式１３－２,34.957907,135.7067791
573,セブンイレブン 和歌山南大工町店,和歌山県和歌山市南大工町１７,34.233986,135.1737829
574,セブンイレブン 大垣南頬町一丁目店,岐阜県大垣市南頬町１丁目８４,35.3556447,136.6233467
575,セブンイレブン大分奧田店,大分県大分市大字奥田田中町１８－１－Ｂ,33.2116738,131.5947683
576,セブンイレブン浦和常盤５丁目店,埼玉県さいたま市浦和区常盤５丁目１７－１２,35.8645317,139.6465765
577,セブンイレブン 新橋ＳＬ広場前店,東京都港区新橋２丁目８－９,35.6671088,139.7569763
578,セブンイレブン 日立千石町店,茨城県日立市千石町１丁目１９－５,36.5524116,140.6273349
579,セブンイレブン柏あけぼの４丁目店,千葉県柏市あけぼの４丁目１－３,35.8656487,139.9692928
580,セブンイレブン 港区芝三丁目店,東京都港区芝３丁目１５－９,35.6531157,139.7454027
581,セブンイレブン 狭山入間川店,埼玉県狭山市入間川２丁目４－４,35.859044,139.4092214
582,セブンイレブン 相模原橋本２丁目店,神奈川県相模原市緑区橋本２丁目５－７,35.5961151,139.341872
583,セブンイレブン 京都竹鼻堂ノ前店,京都府京都市山科区竹鼻堂ノ前町２７－１,34.9869844,135.8176909
584,セブンイレブン 富士市横割店,静岡県富士市横割２丁目１－１,35.1485361,138.6558857
